num,time,result,l1,l1x,l2,l2x,l3
16108,2016-09-14,10 17 22 23 25 07 09,259,"13,215","240,455",7,2
16107,2016-09-12,02 06 19 24 26 04 06,308,"9,696","166,596",7,6
16106,2016-09-10,03 21 30 33 35 01 04,266,"9,656","194,257",6,3
16105,2016-09-07,08 11 31 34 35 01 02,143,"7,523","124,297",1,0
16104,2016-09-05,01 20 22 23 30 06 07,128,"5,572","129,646",3,0
16103,2016-09-03,05 14 20 23 29 03 11,303,"10,614","191,722",3,0
16102,2016-08-31,03 05 06 34 35 03 12,149,"7,101","137,007",0,0
16101,2016-08-29,04 06 28 33 35 07 12,136,"7,058","138,619",1,0
16100,2016-08-27,08 12 19 26 30 02 12,229,"9,203","175,211",1,0
16099,2016-08-24,03 04 12 14 27 01 05,137,"6,619","139,669",1,1
16098,2016-08-22,08 09 11 20 29 04 05,365,"14,733","242,266",4,2
16097,2016-08-20,06 08 18 31 33 10 12,142,"7,137","143,415",1,0
16096,2016-08-17,01 06 08 12 21 05 10,182,"7,557","143,356",5,5
16095,2016-08-15,08 12 18 19 21 03 06,312,"11,849","195,250",2,2
16094,2016-08-13,01 14 16 17 18 05 07,123,"7,778","152,965",7,1
16093,2016-08-10,01 08 14 30 35 06 07,308,"12,386","199,899",5,0
16092,2016-08-08,02 13 31 33 34 07 11,138,"7,466","151,484",2,0
16091,2016-08-06,08 13 17 21 22 02 08,188,"10,718","195,491",3,0
16090,2016-08-03,04 06 08 28 32 07 12,149,"7,944","157,358",1,0
16089,2016-08-01,07 14 17 28 34 07 10,259,"9,339","168,408",0,0
16088,2016-07-30,04 06 17 21 30 06 11,274,"13,644","222,651",1,0
16087,2016-07-27,03 16 17 23 25 07 09,160,"8,098","171,065",2,1
16086,2016-07-25,03 05 22 25 30 07 09,168,"8,423","177,587",2,1
16085,2016-07-23,14 15 27 31 32 01 07,281,"10,670","212,270",47,4
16084,2016-07-20,08 12 15 26 35 01 08,127,"7,319","132,273",0,0
16083,2016-07-18,01 05 09 33 35 01 05,287,"11,695","205,700",6,2
16082,2016-07-16,03 08 23 28 29 02 07,268,"12,847","208,774",6,1
16081,2016-07-13,06 07 18 21 33 03 08,238,"9,544","166,096",1,0
16080,2016-07-11,15 20 29 30 33 07 12,358,"11,074","175,346",4,0
16079,2016-07-09,07 14 15 20 27 05 10,280,"9,479","182,201",2,1
16078,2016-07-06,07 18 29 31 35 05 11,170,"8,507","152,623",1,1
16077,2016-07-04,09 11 14 16 35 02 05,131,"7,056","154,385",1,0
16076,2016-07-02,03 08 10 17 31 05 06,335,"9,577","188,798",4,0
16075,2016-06-29,03 07 17 22 31 08 12,183,"7,351","141,167",4,1
16074,2016-06-27,01 05 07 11 14 03 08,192,"8,277","158,151",0,0
16073,2016-06-25,07 14 17 24 27 08 10,526,"12,391","231,012",9,3
