num,time,result,l1,l1x,l2,l2x,l3
22013,2022-02-09,04 09 16 25 32 05 06,11,7,325,144,557
22012,2022-01-26,03 05 10 33 34 07 10,6,1,86,29,118
22011,2022-01-24,03 05 17 24 32 05 12,5,1,176,76,285
22010,2022-01-22,04 19 25 31 35 02 11,2,1,65,20,214
22009,2022-01-19,13 14 18 31 33 07 10,6,4,82,29,207
22008,2022-01-17,01 02 13 18 34 06 07,1,0,116,34,232
22007,2022-01-15,05 22 23 25 35 03 11,3,0,81,26,164
22006,2022-01-12,01 05 07 17 20 05 12,2,0,89,31,202
22005,2022-01-10,02 13 17 19 34 05 09,16,3,142,48,170
22004,2022-01-08,07 20 27 30 33 03 04,2,1,73,24,240
22003,2022-01-05,02 18 24 25 34 08 12,5,0,99,27,192
22002,2022-01-03,04 06 07 09 24 04 12,5,4,120,42,214
22001,2022-01-01,08 11 19 22 29 03 11,11,5,283,101,714
21150,2021-12-29,04 10 11 23 26 07 10,5,1,124,52,213
21149,2021-12-27,20 26 28 30 35 10 11,1,1,71,21,134
21148,2021-12-25,01 04 12 16 29 04 08,6,2,169,29,244
21147,2021-12-22,01 02 08 12 26 01 07,4,1,87,23,250
21146,2021-12-20,03 05 08 18 20 09 11,7,2,177,100,287
21145,2021-12-18,03 08 25 29 30 01 06,5,2,126,32,436
21144,2021-12-15,03 20 25 30 34 02 09,2,1,53,12,131
21143,2021-12-13,09 17 19 29 34 04 11,11,2,114,35,275
21142,2021-12-11,11 13 17 19 25 02 09,6,1,99,32,220
21141,2021-12-08,02 08 16 29 34 05 12,3,0,165,103,250
21140,2021-12-06,05 24 26 33 35 09 12,2,1,117,66,197
21139,2021-12-04,05 13 18 23 34 08 09,29,16,230,89,270
21138,2021-12-01,09 11 12 15 31 05 11,4,3,79,43,155
21137,2021-11-29,02 07 13 14 19 04 05,7,4,85,33,197
21136,2021-11-27,08 12 19 27 33 02 05,2,1,203,84,611
21135,2021-11-24,04 07 17 29 31 05 06,4,2,79,36,254
21134,2021-11-22,02 06 14 19 28 01 06,4,3,57,19,271
21133,2021-11-20,08 09 17 26 28 06 08,13,7,204,69,324
21132,2021-11-17,04 21 28 29 33 03 11,10,2,149,35,265
21131,2021-11-15,06 08 16 34 35 05 06,2,2,69,22,159
21130,2021-11-13,02 03 14 27 28 05 10,14,7,140,39,440
21129,2021-11-10,02 16 17 18 34 04 10,0,0,63,32,160
21128,2021-11-08,14 17 18 23 27 05 08,9,2,128,48,207
21127,2021-11-06,01 02 15 17 26 02 11,3,0,64,26,154
21126,2021-11-03,01 11 12 34 35 09 12,2,0,119,43,269
21125,2021-11-01,17 19 21 27 31 04 09,1,0,103,30,291
21124,2021-10-30,10 17 22 25 35 07 09,3,1,83,32,276
21123,2021-10-27,08 23 26 27 33 08 09,3,1,63,24,140
21122,2021-10-25,14 15 26 27 29 04 05,2,0,105,46,153
21121,2021-10-23,02 15 19 29 30 02 09,3,1,115,32,282
21120,2021-10-20,05 10 21 25 31 05 11,10,2,104,31,225
21119,2021-10-18,01 02 09 16 30 09 10,4,0,141,39,370
21118,2021-10-16,14 17 18 28 34 02 03,4,0,98,24,190
21117,2021-10-13,11 18 21 22 33 05 06,8,1,169,51,386
21116,2021-10-11,04 25 28 29 35 03 11,2,0,73,20,216
21115,2021-10-09,08 13 19 20 29 06 10,2,1,114,40,299
21114,2021-10-06,08 09 13 29 30 01 11,1,0,110,43,359
21113,2021-09-29,17 18 25 27 28 04 08,6,3,139,46,321
21112,2021-09-27,18 21 22 23 35 11 12,1,0,61,15,168
21111,2021-09-25,07 08 15 19 28 08 09,12,2,232,66,378
21110,2021-09-22,11 14 29 31 32 11 12,6,5,75,26,153
21109,2021-09-20,03 04 07 27 31 06 09,4,1,83,46,230
21108,2021-09-18,05 19 22 26 35 02 06,8,5,69,34,182
21107,2021-09-15,03 05 13 20 25 07 11,9,5,70,18,259
21106,2021-09-13,02 13 14 32 34 02 12,0,0,97,24,254
21105,2021-09-11,07 10 11 17 18 04 09,4,1,117,47,256
21104,2021-09-08,23 25 26 30 33 03 11,2,0,71,18,180
21103,2021-09-06,04 10 23 30 31 05 11,1,0,61,22,286
21102,2021-09-04,02 08 11 16 23 02 07,13,5,117,66,253
21101,2021-09-01,13 18 19 27 32 06 11,6,1,101,39,201
21100,2021-08-30,07 11 23 26 28 02 07,3,3,96,41,243
21099,2021-08-28,15 19 27 28 30 03 04,1,0,130,16,316
21098,2021-08-25,02 07 21 27 33 07 09,2,1,62,27,145
21097,2021-08-23,11 26 30 31 33 03 10,1,0,45,14,121
21096,2021-08-21,07 08 10 20 21 01 05,10,2,204,64,490
21095,2021-08-18,10 15 19 20 30 11 12,2,1,116,37,422
21094,2021-08-16,05 06 24 27 33 05 12,6,2,77,22,191
21093,2021-08-14,20 25 27 28 31 08 11,2,1,66,19,122
21092,2021-08-11,12 14 27 28 34 03 07,2,1,108,47,258
21091,2021-08-09,01 04 10 21 29 03 05,5,0,155,76,314
21090,2021-08-07,06 07 19 26 32 06 12,2,0,236,80,330
